Variable,Overall (n=412),BL/BLI Resistant (n=58),BL/BLI Susceptible (n=354),p-value,Nearest-neighbor criterion,Discriminatory criterion
Truncating mutation in ompK35 porin at 25%,412 (100.0),58 (100.0),354 (100.0),NA,NA,NA
25 cytosine-to-thymine transition in ompK36,131 (31.8),37 (63.8),94 (26.6),<0.001,Pass,Fail
Loop 3 insertion in OmpK36,124 (30.1),37 (63.8),87 (24.6),<0.001,Pass,Fail
GD loop 3 insertion in OmpK36,119 (28.9),35 (60.3),84 (23.7),<0.001,Pass,Fail
TD loop 3 insertion in OmpK36,5 (1.2),2 (3.4),3 (0.8),0.147,Fail,Pass
Non-synonymous mutation in ompK36,22 (5.3),10 (17.2),12 (3.4),<0.001,Pass,Pass
PFAV in ompK36,20 (4.9),10 (17.2),10 (2.8),<0.001,Pass,Pass
Truncating mutation in ompK36,8 (1.9),6 (10.3),2 (0.6),<0.001,Pass,Pass
Mutation in 5' intergenic region of ompK36,31 (7.5),8 (13.8),23 (6.5),0.061,Fail,Pass
Insertion sequence near ompK36 promoter,24 (5.8),6 (10.3),18 (5.1),0.128,Pass,Pass
acrAB-tolC efflux pump mutant,2 (0.5),0 (0.0),2 (0.6),1.000,Fail,Pass
PFAV in ramR efflux pump regulator,27 (6.6),7 (12.1),20 (5.6),0.083,Fail,Pass
PFAV in ramA efflux pump activator,10 (2.4),6 (10.3),4 (1.1),0.001,Pass,Pass
Non-synonymous mutations in penicillin-binding-proteins,9 (2.2),6 (10.3),3 (0.8),<0.001,Pass,Pass
Penicillin-binding protein-2 mutant,8 (1.9),6 (10.3),2 (0.6),<0.001,Pass,Pass
Penicillin-binding protein-4 mutant,2 (0.5),1 (1.7),1 (0.3),0.262,Pass,Pass
