term,Overall (n=336),Non-Susceptible (n=52),Susceptible (n=284),OR (95% CI),OR p-value,aOR (95% CI),aOR p-value
age,71.06 (14.66),77.00 (11.72),69.98 (14.90),1.04 (1.02-1.07),0.0017,1.04 (1.02-1.07),0.0015
LOSbeforeCx,40.99 (110.33),41.81 (66.94),40.85 (116.63),1.00 (1.00-1.00),0.9538,NA,NA
sex.female,160 (47.6),28 (53.8),132 (46.5),1.34 (0.74-2.45),0.3292,NA,NA
trach,227 (67.6),33 (63.5),194 (68.3),0.81 (0.44-1.52),0.4929,NA,NA
central_line,187 (55.7),25 (48.1),162 (57.0),0.70 (0.38-1.26),0.2331,NA,NA
foley,183 (54.5),29 (55.8),154 (54.2),1.06 (0.59-1.94),0.8372,NA,NA
gastro,121 (36.0),16 (30.8),105 (37.0),0.76 (0.39-1.41),0.3927,NA,NA
AKI,154 (45.8),23 (44.2),131 (46.1),0.93 (0.51-1.68),0.8009,NA,NA
CKD,110 (32.7),18 (34.6),92 (32.4),1.10 (0.58-2.04),0.7537,NA,NA
VDRF,99 (29.5),14 (26.9),85 (29.9),0.86 (0.43-1.64),0.6622,NA,NA
underweight,84 (25.0),7 (13.5),77 (27.1),0.42 (0.17-0.91),0.0415,0.42 (0.16-0.93),0.0466
CHF,64 (19.0),9 (17.3),55 (19.4),0.87 (0.38-1.82),0.7283,NA,NA
decub,67 (19.9),7 (13.5),60 (21.1),0.58 (0.23-1.28),0.2079,NA,NA
lung_dz,60 (17.9),13 (25.0),47 (16.5),1.68 (0.81-3.32),0.1467,NA,NA
brain_injury,63 (18.8),11 (21.2),52 (18.3),1.20 (0.55-2.42),0.6294,NA,NA
malignancy,42 (12.5),6 (11.5),36 (12.7),0.90 (0.33-2.12),0.8197,NA,NA
obese,19 (5.7),2 (3.8),17 (6.0),0.63 (0.10-2.28),0.5425,NA,NA
carbapenem_1d,106 (31.5),23 (44.2),83 (29.2),1.92 (1.04-3.51),0.0342,1.95 (1.03-3.67),0.0383
amikacin_1d,41 (12.2),8 (15.4),33 (11.6),1.38 (0.56-3.06),0.4473,NA,NA
gent_1d,12 (3.6),2 (3.8),10 (3.5),1.10 (0.17-4.32),0.9076,NA,NA
tobra_1d,21 (6.2),5 (9.6),16 (5.6),1.78 (0.56-4.80),0.2813,NA,NA
aztreonam_1d,10 (3.0),0 (0.0),10 (3.5),0.00 ( NA-7989898973108888576.00),0.9843,NA,NA
bactrim_1d,11 (3.3),2 (3.8),9 (3.2),1.22 (0.18-4.92),0.8011,NA,NA
third_plus_ceph_1d,83 (24.7),20 (38.5),63 (22.2),2.19 (1.16-4.07),0.0138,2.13 (1.10-4.07),0.0232
FQ_1d,59 (17.6),7 (13.5),52 (18.3),0.69 (0.27-1.54),0.4003,NA,NA
dapto_1d,14 (4.2),5 (9.6),9 (3.2),3.25 (0.96-9.84),0.0420,NA,NA
flagyl_1d,62 (18.5),10 (19.2),52 (18.3),1.06 (0.48-2.18),0.8750,NA,NA
linezolid_1d,48 (14.3),6 (11.5),42 (14.8),0.75 (0.27-1.75),0.5392,NA,NA
poly_colistin_1d,38 (11.3),6 (11.5),32 (11.3),1.03 (0.37-2.44),0.9548,NA,NA
tigecycline_1d,47 (14.0),11 (21.2),36 (12.7),1.85 (0.84-3.83),0.1093,NA,NA
vanco_1d,143 (42.6),21 (40.4),122 (43.0),0.90 (0.49-1.63),0.7302,NA,NA
zosyn_1d,45 (13.4),5 (9.6),40 (14.1),0.65 (0.22-1.59),0.3875,NA,NA
