Variable,Overall (n=336),Resistant (n=52),Susceptible (n=284),OR (95% CI),OR p-value,aOR (95% CI),aOR p-value
"Age, 1 year unit",71.07 (14.66),77.00 (11.72),69.98 (14.90),1.04 (1.02-1.07),0.0017,1.04 (1.02-1.07),0.0015
"Length of stay before culture, 1-day unit",40.48 (109.98),41.81 (66.94),40.23 (116.23),1.00 (1.00-1.00),0.9243,NA,NA
Female sex,160 (47.6),28 (53.8),132 (46.5),1.34 (0.74-2.45),0.3292,NA,NA
Tracheostomy tube,227 (67.6),33 (63.5),194 (68.3),0.81 (0.44-1.52),0.4929,NA,NA
Central venous catheter,187 (55.7),25 (48.1),162 (57.0),0.70 (0.38-1.26),0.2331,NA,NA
Indwelling urinary catheter,183 (54.5),29 (55.8),154 (54.2),1.06 (0.59-1.94),0.8372,NA,NA
Gastrostomy tube,121 (36.0),16 (30.8),105 (37.0),0.76 (0.39-1.41),0.3927,NA,NA
Acute kidney injury,154 (45.8),23 (44.2),131 (46.1),0.93 (0.51-1.68),0.8009,NA,NA
Chronic kidney disease,110 (32.7),18 (34.6),92 (32.4),1.10 (0.58-2.04),0.7537,NA,NA
Ventilator-dependent respiratory failure,99 (29.5),14 (26.9),85 (29.9),0.86 (0.43-1.64),0.6622,NA,NA
Underweight or malnutrition,84 (25.0),7 (13.5),77 (27.1),0.42 (0.17-0.91),0.0415,0.42 (0.16-0.94),0.0471
Congestive heart failure,64 (19.0),9 (17.3),55 (19.4),0.87 (0.38-1.82),0.7283,NA,NA
Decubitus ulcer stage 4+,67 (19.9),7 (13.5),60 (21.1),0.58 (0.23-1.28),0.2079,NA,NA
Chronic bronchitis or chronic obstructive pulmonary disease,60 (17.9),13 (25.0),47 (16.5),1.68 (0.81-3.32),0.1467,NA,NA
Brain injury,63 (18.8),11 (21.2),52 (18.3),1.20 (0.55-2.42),0.6294,NA,NA
Malignancy,41 (12.2),6 (11.5),35 (12.3),0.93 (0.34-2.19),0.8736,NA,NA
Obesity,19 (5.7),2 (3.8),17 (6.0),0.63 (0.10-2.28),0.5425,NA,NA
Carbapenem exposure,106 (31.5),23 (44.2),83 (29.2),1.92 (1.04-3.51),0.0342,1.96 (1.04-3.68),0.0367
Amikacin exposure,41 (12.2),8 (15.4),33 (11.6),1.38 (0.56-3.06),0.4473,NA,NA
Gentamicin exposure,12 (3.6),2 (3.8),10 (3.5),1.10 (0.17-4.32),0.9076,NA,NA
Tobramycin exposure,21 (6.2),5 (9.6),16 (5.6),1.78 (0.56-4.80),0.2813,NA,NA
Aztreonam exposure,10 (3.0),0 (0.0),10 (3.5),0.00 (NA-7989898973059213312.00),0.9843,NA,NA
Sulfamethoxazole-trimethoprim exposure,11 (3.3),2 (3.8),9 (3.2),1.22 (0.18-4.92),0.8011,NA,NA
Cephalosporin exposure,84 (25.0),20 (38.5),64 (22.5),2.15 (1.14-3.99),0.0163,2.09 (1.08-3.99),0.0268
Fluoroquinolone exposure,59 (17.6),7 (13.5),52 (18.3),0.69 (0.27-1.54),0.4003,NA,NA
Daptomycin exposure,14 (4.2),5 (9.6),9 (3.2),3.25 (0.96-9.84),0.042,NA,NA
Metronidazole exposure,63 (18.8),10 (19.2),53 (18.7),1.04 (0.47-2.13),0.923,NA,NA
Linezolid exposure,48 (14.3),6 (11.5),42 (14.8),0.75 (0.27-1.75),0.5392,NA,NA
Polymyxin and/or colistin exposure,38 (11.3),6 (11.5),32 (11.3),1.03 (0.37-2.44),0.9548,NA,NA
Tigecycline exposure,47 (14.0),11 (21.2),36 (12.7),1.85 (0.84-3.83),0.1093,NA,NA
Vancomycin exposure,144 (42.9),21 (40.4),123 (43.3),0.89 (0.48-1.61),0.6953,NA,NA
Piperacillin/tazobactam exposure,45 (13.4),5 (9.6),40 (14.1),0.65 (0.22-1.59),0.3875,NA,NA
